diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
0.25,273.14999999999998,31.228381041666665,0.92972595237084443,7.294166038204311e-08,0.00016532880196630945,7.3037599333630485e-08
0.26,273.14999999999998,31.228381041666665,0.92972595237084443,9.2284563797096899e-08,0.00018638903890231371,9.2415863502133457e-08
0.27,273.14999999999998,31.228381041666665,0.92972595237084443,1.1572392857339618e-07,0.00020921882981634774,1.1590149099201006e-07
0.28,273.14999999999998,31.228381041666665,0.92972595237084443,1.4392570536513134e-07,0.00023389980727843245,1.4416327043609972e-07
0.29,273.14999999999998,31.228381041666665,0.92972595237084443,1.7763397761444949e-07,0.00026051525463205736,1.7794853844376577e-07
0.3,273.14999999999998,31.228381041666665,0.92972595237084443,2.1767657011428997e-07,0.00028915001017209776,2.1808910300863123e-07
0.31,273.14999999999998,31.228381041666665,0.92972595237084443,2.6497118630824401e-07,0.00031989069556805018,2.6550738231296081e-07
0.32,273.14999999999998,31.228381041666665,0.92972595237084443,3.2053151993541869e-07,0.00035282569821422783,3.2122275892868545e-07
0.33,273.14999999999998,31.228381041666665,0.92972595237084443,3.8547403264714756e-07,0.0003880452350550233,3.8635814941507397e-07
0.34,273.14999999999998,31.228381041666665,0.92972595237084443,4.6102426037486574e-07,0.00042564141228736737,4.6214678931304886e-07
0.35,273.14999999999998,31.228381041666665,0.92972595237084443,5.4852387616940058e-07,0.00046570838843322738,5.4993923353614712e-07
0.36,273.14999999999998,31.228381041666665,0.92972595237084443,6.4943762592199736e-07,0.00050834231744491904,6.5121057215812541e-07
0.37,273.14999999999998,31.228381041666665,0.92972595237084443,7.6536047426518345e-07,0.00055364145304151338,7.675678615972107e-07
0.38,273.14999999999998,31.228381041666665,0.92972595237084443,8.9802581439089857e-07,0.00060170638049582216,9.0075777119699852e-07
0.39,273.14999999999998,31.228381041666665,0.92972595237084443,1.0493117023057246e-06,0.0006526398083377586,1.0526744452039889e-06
0.4,273.14999999999998,31.228381041666665,0.92972595237084443,1.2212503626749944e-06,0.00070654682988884553,1.2253675801417752e-06
0.41,273.14999999999998,31.228381041666665,0.92972595237084443,1.4160347589822338e-06,0.0007635349284167872,1.4210507175818734e-06
0.42,273.14999999999998,31.228381041666665,0.92972595237084443,1.6360277866266421e-06,0.00082371420557890386,1.6421097523111986e-06
0.43,273.14999999999998,31.228381041666665,0.92972595237084443,1.8837708390952178e-06,0.00088719718637954596,1.8911116558961816e-06
0.44,273.14999999999998,31.228381041666665,0.92972595237084443,2.1619911689337407e-06,0.0009540990477192523,2.1708134156435427e-06
0.45,273.14999999999998,31.228381041666665,0.92972595237084443,2.473612501513647e-06,0.0010245377904982353,2.484171188957691e-06
0.46,273.14999999999998,31.228381041666665,0.92972595237084443,2.8217624569436282e-06,0.0010986341473017548,2.8343496730947874e-06
0.47,273.14999999999998,31.228381041666665,0.92972595237084443,3.2097832252638505e-06,0.0011765117214725047,3.2247316903134422e-06
0.48,273.14999999999998,31.228381041666665,0.92972595237084443,3.6412397613285798e-06,0.0012582970468932348,3.6589279884220589e-06
0.49,273.14999999999998,31.228381041666665,0.92972595237084443,4.1199296055459651e-06,0.0013441199719608397,4.1407872567228238e-06
0.5,273.14999999999998,31.228381041666665,0.92972595237084443,4.649893403575038e-06,0.0014341129320150853,4.6744063573523511e-06
0.51,273.14999999999998,31.228381041666665,0.92972595237084443,5.2354232941384008e-06,0.0015284122132499835,5.2641407720189458e-06
0.52,273.14999999999998,31.228381041666665,0.92972595237084443,5.8810764490122692e-06,0.0016271569274977575,5.9146152641365413e-06
0.53,273.14999999999998,31.228381041666665,0.92972595237084443,6.591681190891534e-06,0.0017304897401303433,6.630734756355261e-06
0.54,273.14999999999998,31.228381041666665,0.92972595237084443,7.3723489695715573e-06,0.0018385567646091133,7.4176954234886442e-06
0.55,273.14999999999998,31.228381041666665,0.92972595237084443,8.2284882725258625e-06,0.001951507827273786,8.2809960008374919e-06
0.56,273.14999999999998,31.228381041666665,0.92972595237084443,9.1658093056972442e-06,0.0020694961633205421,9.2264493079103822e-06
0.57,273.14999999999998,31.228381041666665,0.92972595237084443,1.0190341403869961e-05,0.0021926789992320591,1.0260193987540817e-05
0.58,273.14999999999998,31.228381041666665,0.92972595237084443,1.1308438660036818e-05,0.0023212173148946034,1.1388706460401009e-05
0.59,273.14999999999998,31.228381041666665,0.92972595237084443,1.2526800040543271e-05,0.0024552756719254179,1.2618813094912324e-05
0.6,273.14999999999998,31.228381041666665,0.92972595237084443,1.385246405540018e-05,0.0025950234577695516,1.3957702592552399e-05
0.61,273.14999999999998,31.228381041666665,0.92972595237084443,1.5292843028164026e-05,0.0027406332715394733,1.5412938588558814e-05
0.62,273.14999999999998,31.228381041666665,0.92972595237084443,1.6855720885512966e-05,0.0028922827770339493,1.6992472468029492e-05
0.63,273.14999999999998,31.228381041666665,0.92972595237084443,1.8549261053059555e-05,0.00305015335315225,1.8704656397419738e-05
0.64,273.14999999999998,31.228381041666665,0.92972595237084443,2.0382030946319962e-05,0.0032144312855505912,2.0558256571435869e-05
0.65,273.14999999999998,31.228381041666665,0.92972595237084443,2.2363008498171936e-05,0.0033853069457479056,2.2562466675325549e-05
0.66,273.14999999999998,31.228381041666665,0.92972595237084443,2.4501598521812235e-05,0.0035629756126723503,2.4726921562564734e-05
0.67,273.14999999999998,31.228381041666665,0.92972595237084443,2.6807638143022724e-05,0.0037476371288204819,2.7061711147941266e-05
0.68,273.14999999999998,31.228381041666665,0.92972595237084443,2.9291412954637619e-05,0.0039394967998561464,2.9577394516035127e-05
0.69,273.14999999999998,31.228381041666665,0.92972595237084443,3.1963678470556706e-05,0.0041387640195367781,3.2285014245095324e-05
0.7,273.14999999999998,31.228381041666665,0.92972595237084443,3.4976450452107321e-05,0.0043585023019828808,3.5196110946313415e-05
0.71,273.14999999999998,31.228381041666665,0.92972595237084443,3.8089764614315182e-05,0.0045752718806394517,3.8322738018493693e-05
0.72,273.14999999999998,31.228381041666665,0.92972595237084443,4.1429736151753894e-05,0.0048001633911515483,4.1677476618119986e-05
0.73,273.14999999999998,31.228381041666665,0.92972595237084443,4.5009273699714865e-05,0.0050334043401272892,4.5273450844819253e-05
0.74,273.14999999999998,31.228381041666665,0.92972595237084443,4.8841809374499777e-05,0.0052752285541766896,4.9124343142221485e-05
0.75,273.14999999999998,31.228381041666665,0.92972595237084443,5.2941299728571945e-05,0.0055258738076853922,5.3244409914216625e-05
0.76,273.14999999999998,31.228381041666665,0.92972595237084443,5.7322290705540773e-05,0.0057855858340311187,5.7648497356607905e-05
0.77,273.14999999999998,31.228381041666665,0.92972595237084443,6.1999904584191014e-05,0.0060546143503749945,6.2352057504161902e-05
0.78,273.14999999999998,31.228381041666665,0.92972595237084443,6.6989828363633064e-05,0.0063332155527669838,6.7371164493055288e-05
0.79,273.14999999999998,31.228381041666665,0.92972595237084443,7.2308360764369915e-05,0.0066216534192829026,7.2722531038718044e-05
0.8,273.14999999999998,31.228381041666665,0.92972595237084443,7.7972430728788592e-05,0.0069201956012958626,7.8423525129073612e-05
0.81,273.14999999999998,31.228381041666665,0.92972595237084443,8.3999599071383612e-05,0.0072291191336237024,8.4492186933175336e-05
0.82,273.14999999999998,31.228381041666665,0.92972595237084443,9.0408058312705148e-05,0.0075487049277237562,9.0947245925239898e-05
0.83,273.14999999999998,31.228381041666665,0.92972595237084443,9.7216690735399297e-05,0.0078792430433024564,9.7808138224077159e-05
0.84,273.14999999999998,31.228381041666665,0.92972595237084443,0.00010444504125293718,0.008221029625619004,0.00010509502414791671
0.85,273.14999999999998,31.228381041666665,0.92972595237084443,0.0001121133776597144,0.0085743675801750272,0.00011282880598463102
0.86,273.14999999999998,31.228381041666665,0.92972595237084443,0.00012024264478795684,0.0089395674528790457,0.00012103114597735562
0.87,273.14999999999998,31.228381041666665,0.92972595237084443,0.00012885452720729347,0.0093169480179867304,0.00012972448452550515
0.88,273.14999999999998,31.228381041666665,0.92972595237084443,0.00013797149862098377,0.0097068348510059386,0.00013893205860118673
0.89,273.14999999999998,31.228381041666665,0.92972595237084443,0.00014761674093414123,0.010109561356588649,0.00014867792038100974
0.9,273.14999999999998,31.228381041666665,0.92972595237084443,0.00015781426231747459,0.010525469587000963,0.00015898695609329222
0.91,273.14999999999998,31.228381041666665,0.92972595237084443,0.0001685888636283697,0.010954910041379301,0.00016988490508066404
0.92,273.14999999999998,31.228381041666665,0.92972595237084443,0.00017996613326215198,0.011398240313857345,0.0001813983790780664
0.93,273.14999999999998,31.228381041666665,0.92972595237084443,0.0001919725669356461,0.011855827582780356,0.00019355488170614849
0.94,273.14999999999998,31.228381041666665,0.92972595237084443,0.00020463542312170081,0.012328047361319235,0.0002063828281800603
0.95,273.14999999999998,31.228381041666665,0.92972595237084443,0.00021798294861559821,0.012815285052277678,0.0002199115652336423
0.96,273.14999999999998,31.228381041666665,0.92972595237084443,0.0002320441869519055,0.013317934315314537,0.00023417139125901177
0.97,273.14999999999998,31.228381041666665,0.92972595237084443,0.0002468492138426067,0.0138363981428674,0.00024919357666154565
0.98,273.14999999999998,31.228381041666665,0.92972595237084443,0.00026242894050966037,0.014371089201695176,0.00026501038443026072
0.99,273.14999999999998,31.228381041666665,0.92972595237084443,0.00027881526156189261,0.0149224307682448,0.00028165509092358882
1.0,273.14999999999998,31.228381041666665,0.92972595237084443,0.00029604118140746309,0.015490855363929783,0.00029916200687055047
1.01,273.14999999999998,31.228381041666665,0.92972595237084443,0.00031414053982144132,0.016076804838734186,0.00031756649858732418
1.02,273.14999999999998,31.228381041666665,0.92972595237084443,0.00033314827869850358,0.016680733276720375,0.00033690500940921253
1.03,273.14999999999998,31.228381041666665,0.92972595237084443,0.0003531004216060654,0.017303103680299352,0.00035721508133800532
1.04,273.14999999999998,31.228381041666665,0.92972595237084443,0.00037403409574955925,0.01794439077631696,0.00037853537690473864
1.05,273.14999999999998,31.228381041666665,0.92972595237084443,0.00039598750546604905,0.018605079580647853,0.00040090570124785109
1.06,273.14999999999998,31.228381041666665,0.92972595237084443,0.00041899989120722513,0.019285668428001147,0.00042436702440673671
1.07,273.14999999999998,31.228381041666665,0.92972595237084443,0.00044311190662950145,0.019986663887037803,0.00044896150383069429
1.08,273.14999999999998,31.228381041666665,0.92972595237084443,0.00046836511468224031,0.020708587104708406,0.00047473250710327323
1.09,273.14999999999998,31.228381041666665,0.92972595237084443,0.00049480249633576819,0.021451969129001096,0.00050172463488201637
1.1,273.14999999999998,31.228381041666665,0.92972595237084443,0.00052246816490302266,0.022217354366141064,0.00052998374405359948
1.11,273.14999999999998,31.228381041666665,0.92972595237084443,0.00055140759036336287,0.023005297909424065,0.00055955697110436696
1.12,273.14999999999998,31.228381041666665,0.92972595237084443,0.00058166757417907702,0.023816368209648227,0.00059049275570626446
1.13,273.14999999999998,31.228381041666665,0.92972595237084443,0.00061329618918442609,0.024651149959172846,0.00062284086451816869
1.14,273.14999999999998,31.228381041666665,0.92972595237084443,0.00064634297764338123,0.025510236074147399,0.00065665241520261228
