diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
0.01,283.14999999999998,31.228381041666665,0.92879697317790522,2.9886231922313823e-16,7.6691105144164424e-09,2.9886308515174511e-16
0.02,283.14999999999998,31.228381041666665,0.92879697317790522,1.912702641282795e-14,6.1362828728375705e-08,1.9127237449711687e-14
0.03,283.14999999999998,31.228381041666665,0.92879697317790522,2.1786566563557857e-13,2.0715554158937302e-07,2.1787118907562209e-13
0.04,283.14999999999998,31.228381041666665,0.92879697317790522,1.2240875907674013e-12,4.9122131886894261e-07,1.224143196781548e-12
0.05,283.14999999999998,31.228381041666665,0.92879697317790522,4.66940354249953e-12,9.5988384107508127e-07,4.6697357054960184e-12
0.06,283.14999999999998,31.228381041666665,0.92879697317790522,1.3942327043073328e-11,1.6596673693221993e-06,1.3943756100839824e-11
0.07,283.14999999999998,31.228381041666665,0.92879697317790522,3.5156031715454317e-11,2.6373466593135963e-06,3.5160943105017635e-11
0.08,283.14999999999998,31.228381041666665,0.92879697317790522,7.8330854060101474e-11,3.9399974766430819e-06,7.8345164594019071e-11
0.09,283.14999999999998,31.228381041666665,0.92879697317790522,1.5879136722407084e-10,5.6150489370828047e-06,1.588280968361285e-10
0.1,283.14999999999998,31.228381041666665,0.92879697317790522,2.9877776587939742e-10,7.7103334622717647e-06,2.9886308515174492e-10
0.11,283.14999999999998,31.228381041666665,0.92879697317790522,5.2927119899433371e-10,1.0274139073269745e-05,5.2945418599451067e-10
0.12,283.14999999999998,31.228381041666665,0.92879697317790522,8.9203334863842132e-10,1.3355261448949924e-05,8.9240039045374808e-10
0.13,283.14999999999998,31.228381041666665,0.92879697317790522,1.4418584250384026e-09,1.7003055595234748e-05,1.4425550291782097e-09
0.14,283.14999999999998,31.228381041666665,0.92879697317790522,2.2490400901381988e-09,2.1267492712453372e-05,2.2503003587211311e-09
0.15,283.14999999999998,31.228381041666665,0.92879697317790522,3.4020483958608078e-09,2.6199203614965689e-05,3.404237329306599e-09
0.16,283.14999999999998,31.228381041666665,0.92879697317790522,5.0104218987381868e-09,3.1849545718655384e-05,5.0140905340172205e-09
0.17,283.14999999999998,31.228381041666665,0.92879697317790522,7.2078687851952267e-09,3.8270641158146579e-05,7.213828339403124e-09
0.18,283.14999999999998,31.228381041666665,0.92879697317790522,1.0155582586899722e-08,4.551545266232299e-05,1.0164998197512234e-08
0.19,283.14999999999998,31.228381041666665,0.92879697317790522,1.4045764128366068e-08,5.3637810049499444e-05,1.4060277139341865e-08
0.2,283.14999999999998,31.228381041666665,0.92879697317790522,1.9105359429088435e-08,6.2692498293549938e-05,1.9127237449711691e-08
0.21,283.14999999999998,31.228381041666665,0.92879697317790522,2.5599999507965434e-08,7.2735286452301279e-05,2.5632327523557883e-08
0.22,283.14999999999998,31.228381041666665,0.92879697317790522,3.3838157390582591e-08,8.3822996609663229e-05,3.3885067903648683e-08
0.23,283.14999999999998,31.228381041666665,0.92879697317790522,4.417551293199028e-08,9.6013560207124495e-05,4.4242462499721283e-08
0.24,283.14999999999998,31.228381041666665,0.92879697317790522,5.7019512818450172e-08,0.00010936607778781351,5.7113624989039917e-08
0.25,283.14999999999998,31.228381041666665,0.92879697317790522,7.2834141800847613e-08,0.00012394087347136266,7.2964620398375255e-08
0.26,283.14999999999998,31.228381041666665,0.92879697317790522,9.2144934755416733e-08,0.0001397995415728045,9.2323521867405423e-08
0.27,283.14999999999998,31.228381041666665,0.92879697317790522,1.1554411223255511e-07,0.00015700505587692238,1.1578568259353774e-07
0.28,283.14999999999998,31.228381041666665,0.92879697317790522,1.4369599688279402e-07,0.00017562175071420853,1.4401922295815239e-07
0.29,283.14999999999998,31.228381041666665,0.92879697317790522,1.7734270166746218e-07,0.00019571544513020096,1.7777073283426691e-07
0.3,283.14999999999998,31.228381041666665,0.92879697317790522,2.1730975102919029e-07,0.00021735350915722866,2.178711890756221e-07
0.31,283.14999999999998,31.228381041666665,0.92879697317790522,2.6451214908463155e-07,0.00024060487384792092,2.6524208818719017e-07
0.32,283.14999999999998,31.228381041666665,0.92879697317790522,3.1996070280249031e-07,0.0002655401351882351,3.2090179417710211e-07
0.33,283.14999999999998,31.228381041666665,0.92879697317790522,3.8476817700514988e-07,0.00029223156661664694,3.8597210158999837e-07
0.34,283.14999999999998,31.228381041666665,0.92879697317790522,4.6015607832634652e-07,0.00032075333005626331,4.6168501372179994e-07
0.35,283.14999999999998,31.228381041666665,0.92879697317790522,5.4746154956066319e-07,0.00035118131970441767,5.4938973601590116e-07
0.36,283.14999999999998,31.228381041666665,0.92879697317790522,6.4814388374516541e-07,0.00038359342271068926,6.5055988464078299e-07
0.37,283.14999999999998,31.228381041666665,0.92879697317790522,7.637923954992348e-07,0.0004180694895101443,7.6680091024904794e-07
0.38,283.14999999999998,31.228381041666665,0.92879697317790522,8.9613341843525199e-07,0.00045469143321945018,8.9985773691787937e-07
0.39,283.14999999999998,31.228381041666665,0.92879697317790522,1.047037360521981e-06,0.00049354327939202128,1.0516226162709149e-06
0.4,283.14999999999998,31.228381041666665,0.92879697317790522,1.2185276176243511e-06,0.00053471122571749807,1.2241431967815482e-06
0.41,283.14999999999998,31.228381041666665,0.92879697317790522,1.4127876504038826e-06,0.00057828378275968841,1.4196308082576489e-06
0.42,283.14999999999998,31.228381041666665,0.92879697317790522,1.6321697417197915e-06,0.00062435178734820821,1.6404689615077045e-06
0.43,283.14999999999998,31.228381041666665,0.92879697317790522,1.8792021390694406e-06,0.00067300848213537514,1.8892220631883815e-06
0.44,283.14999999999998,31.228381041666665,0.92879697317790522,2.1565992174001869e-06,0.00072434966792078129,2.1686443458335157e-06
0.45,283.14999999999998,31.228381041666665,0.92879697317790522,2.467269289368879e-06,0.00077847357811434948,2.4816890130645085e-06
0.46,283.14999999999998,31.228381041666665,0.92879697317790522,2.814322794171435e-06,0.00083548120310631281,2.8315175999821621e-06
0.47,283.14999999999998,31.228381041666665,0.92879697317790522,3.2010834924043502e-06,0.00089547626399827049,3.2215095487399238e-06
0.48,283.14999999999998,31.228381041666665,0.92879697317790522,3.6310945203751961e-06,0.0009585651730524879,3.6552719992985547e-06
0.49,283.14999999999998,31.228381041666665,0.92879697317790522,4.1081318449715794e-06,0.0010248574176585539,4.1366497953622216e-06
0.5,283.14999999999998,31.228381041666665,0.92879697317790522,4.6362092423652203e-06,0.0010944652362706022,4.6697357054960163e-06
0.51,283.14999999999998,31.228381041666665,0.92879697317790522,5.2195925069394854e-06,0.0011675041480292282,5.2588808594248758e-06
0.52,283.14999999999998,31.228381041666665,0.92879697317790522,5.862805419940959e-06,0.0012440926418270282,5.908705399513947e-06
0.53,283.14999999999998,31.228381041666665,0.92879697317790522,6.5706441747152276e-06,0.0013243525207140294,6.6241093474303562e-06
0.54,283.14999999999998,31.228381041666665,0.92879697317790522,7.3481831863191849e-06,0.0014084088358854538,7.4102836859864156e-06
0.55,283.14999999999998,31.228381041666665,0.92879697317790522,8.200788142276734e-06,0.0014963902706827661,8.2727216561642323e-06
0.56,283.14999999999998,31.228381041666665,0.92879697317790522,9.1341268416351457e-06,0.0015884286378896929,9.2172302693217531e-06
0.57,283.14999999999998,31.228381041666665,0.92879697317790522,1.0154178924482304e-05,0.001684659554964331,1.0249942034580227e-05
0.58,283.14999999999998,31.228381041666665,0.92879697317790522,1.1267246693818594e-05,0.0017852225765030252,1.1377326901393082e-05
0.59,283.14999999999998,31.228381041666665,0.92879697317790522,1.2479968803423131e-05,0.0018902604402671252,1.2606204417296227e-05
0.6,283.14999999999998,31.228381041666665,0.92879697317790522,1.3799323526952842e-05,0.001999920470173729,1.3943756100839814e-05
0.61,283.14999999999998,31.228381041666665,0.92879697317790522,1.5232652061075159e-05,0.0021143534648245511,1.5397538029701322e-05
0.62,283.14999999999998,31.228381041666665,0.92879697317790522,1.6787660800372961e-05,0.0022337144918681624,1.6975493643980171e-05
0.63,283.14999999999998,31.228381041666665,0.92879697317790522,1.8472442001124315e-05,0.0023581629147643923,1.8685966764673688e-05
0.64,283.14999999999998,31.228381041666665,0.92879697317790522,2.0295469752496885e-05,0.0024878620754113594,2.0537714827334535e-05
0.65,283.14999999999998,31.228381041666665,0.92879697317790522,2.2265627585908823e-05,0.0026229803266224739,2.2539922330909526e-05
0.66,283.14999999999998,31.228381041666665,0.92879697317790522,2.4392218260020906e-05,0.0027636896297232095,2.4702214501759896e-05
0.67,283.14999999999998,31.228381041666665,0.92879697317790522,2.6684972651458952e-05,0.0029101677515861631,2.7034671172862949e-05
0.68,283.14999999999998,31.228381041666665,0.92879697317790522,2.9154053970318183e-05,0.0030625960681943559,2.9547840878195196e-05
