diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
0.57,293.14999999999998,31.228381041666665,0.92677341123946633,1.0115809255424327e-05,0.001331348756693207,1.0227610574453463e-05
0.58,293.14999999999998,31.228381041666665,0.92677341123946633,1.1223992968385256e-05,0.0014115549515021576,1.1352539217600291e-05
0.59,293.14999999999998,31.228381041666665,0.92677341123946633,1.2431289729725268e-05,0.0014953943891567703,1.2578739388679974e-05
0.6,293.14999999999998,31.228381041666665,0.92677341123946633,1.3744632844778379e-05,0.0015829906725664811,1.3913376959930266e-05
0.61,293.14999999999998,31.228381041666665,0.92677341123946633,1.5171303777857091e-05,0.0016744707192593387,1.5363991546667511e-05
0.62,293.14999999999998,31.228381041666665,0.92677341123946633,1.6718953204028392e-05,0.0017699654232078458,1.6938509282686836e-05
0.63,293.14999999999998,31.228381041666665,0.92677341123946633,1.8395600557549101e-05,0.0018696090463756327,1.8645255810374872e-05
0.64,293.14999999999998,31.228381041666665,0.92677341123946633,2.0209657737441825e-05,0.0019735398011232696,2.0492969485535122e-05
0.65,293.14999999999998,31.228381041666665,0.92677341123946633,2.2169938569090487e-05,0.0020818997447405061,2.2490814796925927e-05
0.66,293.14999999999998,31.228381041666665,0.92677341123946633,2.4285656122419869e-05,0.0021948351500518559,2.4648396000511034e-05
0.67,293.14999999999998,31.228381041666665,0.92677341123946633,2.6566459678982727e-05,0.0023124962147323225,2.6975770968422755e-05
0.68,293.14999999999998,31.228381041666665,0.92677341123946633,2.9022416977014675e-05,0.0024350371670934,2.9483465252637782e-05
0.69,293.14999999999998,31.228381041666665,0.92677341123946633,3.1664057150031805e-05,0.002562617325604216,3.2182486363365554e-05
0.7,293.14999999999998,31.228381041666665,0.92677341123946633,3.4642502521715596e-05,0.0027025784885595819,3.5084338262149287e-05
0.71,293.14999999999998,31.228381041666665,0.92677341123946633,3.7718691975267892e-05,0.0028418584787781986,3.820103606967954e-05
0.72,293.14999999999998,31.228381041666665,0.92677341123946633,4.1017938649364253e-05,0.0029867079920556346,4.1545120988320412e-05
0.73,293.14999999999998,31.228381041666665,0.92677341123946633,4.4552835721598102e-05,0.0031373022694604056,4.512967543934855e-05
0.74,293.14999999999998,31.228381041666665,0.92677341123946633,4.8336491829073581e-05,0.0032938217082368678,4.8968338414904277e-05
0.75,293.14999999999998,31.228381041666665,0.92677341123946633,5.2382528225064371e-05,0.003456451167573686,5.3075321044655869e-05
0.76,293.14999999999998,31.228381041666665,0.92677341123946633,5.6705111102234536e-05,0.003625381381376234,5.7465422377176074e-05
0.77,293.14999999999998,31.228381041666665,0.92677341123946633,6.1318966995235389e-05,0.0038008076098431931,6.2154045376031425e-05
0.78,293.14999999999998,31.228381041666665,0.92677341123946633,6.62393487672188e-05,0.003982931390858758,6.7157213130584071e-05
0.79,293.14999999999998,31.228381041666665,0.92677341123946633,7.1482140595708271e-05,0.0041719592339359152,7.2491585281506265e-05
0.8,293.14999999999998,31.228381041666665,0.92677341123946633,7.7063754652501734e-05,0.0043681036546416585,7.8174474661007413e-05
0.81,293.14999999999998,31.228381041666665,0.92677341123946633,8.3001237256279876e-05,0.004571582821564983,8.4223864147773747e-05
0.82,293.14999999999998,31.228381041666665,0.92677341123946633,8.9312248601223755e-05,0.0047826213302418234,9.0658423736620687e-05
0.83,293.14999999999998,31.228381041666665,0.92677341123946633,9.6015089984456391e-05,0.0050014496419704541,9.7497527822857651e-05
0.84,293.14999999999998,31.228381041666665,0.92677341123946633,0.00010312867229604859,0.0052283045520888161,0.00010476127270136558
0.85,293.14999999999998,31.228381041666665,0.92677341123946633,0.00011067260434186551,0.0054634299586658139,0.00011247049428038698
0.86,293.14999999999998,31.228381041666665,0.92677341123946633,0.00011866713127729949,0.0057070754875761217,0.00012064678601002901
0.87,293.14999999999998,31.228381041666665,0.92677341123946633,0.00012713322609435361,0.0059594983974598226,0.00012931251702547823
0.88,293.14999999999998,31.228381041666665,0.92677341123946633,0.00013609250739464245,0.0062209636225237508,0.00013849085050492889
0.89,293.14999999999998,31.228381041666665,0.92677341123946633,0.00014556736920016622,0.0064917412754282901,0.00014820576224222349
0.9,293.14999999999998,31.228381041666665,0.92677341123946633,0.00015558089462010716,0.0067721107025780023,0.00015848205943420573
0.91,293.14999999999998,31.228381041666665,0.92677341123946633,0.00016615697947741049,0.0070623584952715507,0.00016934539968278649
0.92,293.14999999999998,31.228381041666665,0.92677341123946633,0.00017732015700844362,0.0073627786344875159,0.00018082231021172192
0.93,293.14999999999998,31.228381041666665,0.92677341123946633,0.00018909592193064998,0.0076736737801992158,0.00019294020729810479
0.94,293.14999999999998,31.228381041666665,0.92677341123946633,0.00020151037322719656,0.0079953532154128631,0.00020572741591856766
0.95,293.14999999999998,31.228381041666665,0.92677341123946633,0.00021459057111365175,0.0083281371159166957,0.00021921318961019934
0.96,293.14999999999998,31.228381041666665,0.92677341123946633,0.00022836435098594389,0.0086723514833512809,0.00023342773054617358
0.97,293.14999999999998,31.228381041666665,0.92677341123946633,0.00024286037305772991,0.0090283336908071592,0.00024840220982609026
0.98,293.14999999999998,31.228381041666665,0.92677341123946633,0.00025810824061871685,0.0093964281290120494,0.00026416878798103032
0.99,293.14999999999998,31.228381041666665,0.92677341123946633,0.00027413836888030504,0.0097769897329552258,0.00028076063569332092
1.0,293.14999999999998,31.228381041666665,0.92677341123946633,0.00029098205517088377,0.010170382553805176,0.0002982119547310157
1.01,293.14999999999998,31.228381041666665,0.92677341123946633,0.00030867163618932827,0.010576979567041908,0.00031655799909708645
1.02,293.14999999999998,31.228381041666665,0.92677341123946633,0.00032724032149723944,0.010997164517361435,0.00033583509639332712
1.03,293.14999999999998,31.228381041666665,0.92677341123946633,0.00034672224694392304,0.011431331730190217,0.00035608066939897152
1.04,293.14999999999998,31.228381041666665,0.92677341123946633,0.00036715255291776695,0.011879884395426045,0.00037733325786402249
1.05,293.14999999999998,31.228381041666665,0.92677341123946633,0.00038856745846875898,0.012343238861042763,0.00039963254051729409
1.06,293.14999999999998,31.228381041666665,0.92677341123946633,0.00041100411725576166,0.012821818707261252,0.00042301935728916696
1.07,293.14999999999998,31.228381041666665,0.92677341123946633,0.00043450080686889303,0.013316062269699936,0.00044753573174905538
1.08,293.14999999999998,31.228381041666665,0.92677341123946633,0.00045909683569360371,0.013826416759192687,0.00047322489375758748
1.09,293.14999999999998,31.228381041666665,0.92677341123946633,0.0004848325535891663,0.014353341787165352,0.00050013130233349788
1.1,293.14999999999998,31.228381041666665,0.92677341123946633,0.00051174957701193089,0.014897309938358739,0.0005283006687352332
1.11,293.14999999999998,31.228381041666665,0.92677341123946633,0.00053989047165765641,0.015458804926754341,0.00055777997975726946
1.12,293.14999999999998,31.228381041666665,0.92677341123946633,0.00056929926631072662,0.016038323877304007,0.00058861752124114318
1.13,293.14999999999998,31.228381041666665,0.92677341123946633,0.00060002084138324383,0.016636374717034351,0.00062086290180119439
1.14,293.14999999999998,31.228381041666665,0.92677341123946633,0.00063210167169661102,0.017253480453155688,0.00065456707676502164
1.15,293.14999999999998,31.228381041666665,0.92677341123946633,0.0006655891164417284,0.01789017478360682,0.00068978237232865153
1.16,293.14999999999998,31.228381041666665,0.92677341123946633,0.00070053195520375204,0.018547010357805052,0.00072656250992641862
1.17,293.14999999999998,31.228381041666665,0.92677341123946633,0.00073698068754777179,0.019224546689900996,0.00076496263081555875
1.18,293.14999999999998,31.228381041666665,0.92677341123946633,0.00077498643574653702,0.019923361970289728,0.00080503932087551834
1.19,293.14999999999998,31.228381041666665,0.92677341123946633,0.00081460224255722939,0.020644049548582222,0.00084685063562196783
1.2,293.14999999999998,31.228381041666665,0.92677341123946633,0.00085588231602190307,0.021387214746438343,0.00089045612543553704
1.21,293.14999999999998,31.228381041666665,0.92677341123946633,0.00089888253942547157,0.022153478094970983,0.00093591686100525783
1.22,293.14999999999998,31.228381041666665,0.92677341123946633,0.00094366000326142501,0.022943479638232147,0.00098329545898672072
1.23,293.14999999999998,31.228381041666665,0.92677341123946633,0.00099027375733330659,0.023757869622459349,0.0010326561078749445
1.24,293.14999999999998,31.228381041666665,0.92677341123946633,0.0010387838933262191,0.024597316979638219,0.0010840645940919575
1.25,293.14999999999998,31.228381041666665,0.92677341123946633,0.0010892523849464159,0.025462509238950423,0.0011375883282890918
1.26,293.14999999999998,31.228381041666665,0.92677341123946633,0.0011417430735846271,0.026354147576965341,0.0011932963718639918
1.27,293.14999999999998,31.228381041666665,0.92677341123946633,0.0011963209689158662,0.027272951037480092,0.0012512594636923311
1.28,293.14999999999998,31.228381041666665,0.92677341123946633,0.0012530534635117249,0.028219656447073912,0.0013115500470742478
1.29,293.14999999999998,31.228381041666665,0.92677341123946633,0.0013120091658518189,0.029195018415922574,0.0013742422968954868
1.3,293.14999999999998,31.228381041666665,0.92677341123946633,0.001373258969865696,0.030199808734344784,0.0014394121470032593
1.31,293.14999999999998,31.228381041666665,0.92677341123946633,0.0014368754937418905,0.031234818564819224,0.0015071373177968112
1.32,293.14999999999998,31.228381041666665,0.92677341123946633,0.0015029333252086457,0.0323008604500808,0.0015774973440327062
1.33,293.14999999999998,31.228381041666665,0.92677341123946633,0.0015715093157577047,0.033398762141278238,0.0016505736028448216
1.34,293.14999999999998,31.228381041666665,0.92677341123946633,0.0016426816571056774,0.034529368598261077,0.0017264493419790563
1.35,293.14999999999998,31.228381041666665,0.92677341123946633,0.0017165316902650299,0.035693551957834427,0.0018052097082427501
1.36,293.14999999999998,31.228381041666665,0.92677341123946633,0.0017931423960179378,0.036892201121193333,0.0018869417761688181
1.37,293.14999999999998,31.228381041666665,0.92677341123946633,0.0018725990650429371,0.038126222576278533,0.0019717345768945952
1.38,293.14999999999998,31.228381041666665,0.92677341123946633,0.0019549892658144215,0.039396547984068872,0.0020596791272553955
1.39,293.14999999999998,31.228381041666665,0.92677341123946633,0.0020404037464480961,0.040704129530906047,0.0021508684590927831
1.4,293.14999999999998,31.228381041666665,0.92677341123946633,0.0021289349782122671,0.042049939972341202,0.0022453976487775544
1.41,293.14999999999998,31.228381041666665,0.92677341123946633,0.002220678366740603,0.043434972719201111,0.0023433638469474351
1.42,293.14999999999998,31.228381041666665,0.92677341123946633,0.0023157318019754944,0.044860244879310056,0.002444866308459488
1.43,293.14999999999998,31.228381041666665,0.92677341123946633,0.0024141965873470212,0.04632679754255651,0.0025500064225572401
1.44,293.14999999999998,31.228381041666665,0.92677341123946633,0.0025161759609390716,0.047835694125925504,0.0026588877432525064
1.45,293.14999999999998,31.228381041666665,0.92677341123946633,0.0026217772438328654,0.049388017124222,0.0027716160199219432
1.46,293.14999999999998,31.228381041666665,0.92677341123946633,0.0027311100412189273,0.050984876177968028,0.0028882992281183072
1.47,293.14999999999998,31.228381041666665,0.92677341123946633,0.0028442879439365305,0.052627409805634934,0.0030090476005964232
1.48,293.14999999999998,31.228381041666665,0.92677341123946633,0.0029614273874916204,0.054316767736769453,0.0031339736585538737
1.49,293.14999999999998,31.228381041666665,0.92677341123946633,0.0030826484102910337,0.056054133492259288,0.0032631922430863933
1.5,293.14999999999998,31.228381041666665,0.92677341123946633,0.0032167594967211681,0.057855261611527334,0.0033968205468579756
1.51,293.14999999999998,31.228381041666665,0.92677341123946633,0.0033456452533932438,0.05968994011784115,0.0035349781459857016
1.52,293.14999999999998,31.228381041666665,0.92677341123946633,0.0034787547901719658,0.061576186164745667,0.0036777870321392687
1.53,293.14999999999998,31.228381041666665,0.92677341123946633,0.0036161941974550268,0.063515314442594437,0.0038253716448552418
1.54,293.14999999999998,31.228381041666665,0.92677341123946633,0.0037580729079414793,0.06550867038252324,0.0039778589040660112
1.55,293.14999999999998,31.228381041666665,0.92677341123946633,0.0039045021588256902,0.067557631518724126,0.0041353782428434661
1.56,293.14999999999998,31.228381041666665,0.92677341123946633,0.0040555942962195741,0.06966361304538507,0.0042980616403573806
1.57,293.14999999999998,31.228381041666665,0.92677341123946633,0.0042114636004104509,0.071828054221494325,0.0044660436550485096
1.58,293.14999999999998,31.228381041666665,0.92677341123946633,0.0043722285762592666,0.074052436510773464,0.004639461458016401
1.59,293.14999999999998,31.228381041666665,0.92677341123946633,0.0045380057220227267,0.076338274101907133,0.0048184548666219181
1.6,293.14999999999998,31.228381041666665,0.92677341123946633,0.0047089183038719123,0.078687116858926959,0.0050031663783044744
1.61,293.14999999999998,31.228381041666665,0.92677341123946633,0.0048850866452100142,0.081100553799398331,0.0051937412046139837
1.62,293.14999999999998,31.228381041666665,0.92677341123946633,0.0050666371625503843,0.083580211457106215,0.0053903273054575198
1.63,293.14999999999998,31.228381041666665,0.92677341123946633,0.0052536966020318336,0.08612775076168272,0.005593075423560692
1.64,293.14999999999998,31.228381041666665,0.92677341123946633,0.0054463938089006165,0.088744883084769022,0.005802139119143724
1.65,293.14999999999998,31.228381041666665,0.92677341123946633,0.0056448595759105739,0.091433344577422887,0.0060176748048122661
1.66,293.14999999999998,31.228381041666665,0.92677341123946633,0.0058492267397277859,0.094194928575392689,0.0062398417806628897
1.67,293.14999999999998,31.228381041666665,0.92677341123946633,0.006059631223006518,0.09703146307762163,0.0064688022696033267
1.68,293.14999999999998,31.228381041666665,0.92677341123946633,0.0062762108480192312,0.099944823497797181,0.0067047214528873919
1.69,293.14999999999998,31.228381041666665,0.92677341123946633,0.0064991057587366133,0.10293691649010542,0.0069477675058646528
1.7,293.14999999999998,31.228381041666665,0.92677341123946633,0.0067284562778681884,0.10600971908532271,0.0071981116339447666
1.71,293.14999999999998,31.228381041666665,0.92677341123946633,0.0069644076419863865,0.10916523055340104,0.0074559281087765682
1.72,293.14999999999998,31.228381041666665,0.92677341123946633,0.0072071055574933649,0.11240551693667063,0.0077213943046418564
1.73,293.14999999999998,31.228381041666665,0.92677341123946633,0.0074566996177404159,0.11573267899763925,0.0079946907350638904
1.74,293.14999999999998,31.228381041666665,0.92677341123946633,0.0077133408847548345,0.11914887574315149,0.0082760010896306066
1.75,293.14999999999998,31.228381041666665,0.92677341123946633,0.0079771825780801768,0.12265631671726893,0.0085655122710325358
1.76,293.14999999999998,31.228381041666665,0.92677341123946633,0.0082483791650021076,0.12625726616244259,0.0088634144323154491
1.77,293.14999999999998,31.228381041666665,0.92677341123946633,0.0085270905610104128,0.12995403353903692,0.009169901014347703
1.78,293.14999999999998,31.228381041666665,0.92677341123946633,0.0088134767564055777,0.13374899233557419,0.0094851687835023034
1.79,293.14999999999998,31.228381041666665,0.92677341123946633,0.009107700341908706,0.13764456380986737,0.0098094178695536782
1.8,293.14999999999998,31.228381041666665,0.92677341123946633,0.0094099260662829122,0.14164323123599057,0.010142851803789167
1.81,293.14999999999998,31.228381041666665,0.92677341123946633,0.0097203245980893114,0.14574754887324484,0.010485677557335225
1.82,293.14999999999998,31.228381041666665,0.92677341123946633,0.010039063274313422,0.14996011228193865,0.010838105579698335
1.83,293.14999999999998,31.228381041666665,0.92677341123946633,0.010366316478558514,0.15428359216383097,0.011200349837520621
1.84,293.14999999999998,31.228381041666665,0.92677341123946633,0.010702258681853129,0.15872070735380073,0.011572627853550203
1.85,293.14999999999998,31.228381041666665,0.92677341123946633,0.011047072035301315,0.16327425428307429,0.011955160745826246
1.86,293.14999999999998,31.228381041666665,0.92677341123946633,0.011400933783542308,0.16794709213236572,0.012348173267078707
1.87,293.14999999999998,31.228381041666665,0.92677341123946633,0.011764028554493662,0.17274216349035526,0.01275189384434283
1.88,293.14999999999998,31.228381041666665,0.92677341123946633,0.01213654383575998,0.17766244086705701,0.01316655461878833
1.89,293.14999999999998,31.228381041666665,0.92677341123946633,0.012518669931210275,0.18271101710988014,0.013592391485763284
1.9,293.14999999999998,31.228381041666665,0.92677341123946633,0.012910596820593666,0.18789101088414478,0.014029644135052758
1.91,293.14999999999998,31.228381041666665,0.92677341123946633,0.013312520617509298,0.19320564613799149,0.014478556091352126
1.92,293.14999999999998,31.228381041666665,0.92677341123946633,0.013724639496030354,0.19865821158165639,0.014939374754955109
1.93,293.14999999999998,31.228381041666665,0.92677341123946633,0.014147155091895541,0.20425208768284334,0.015412351442656524
1.94,293.14999999999998,31.228381041666665,0.92677341123946633,0.014580269174351313,0.20999070407139978,0.015897741428869776
1.95,293.14999999999998,31.228381041666665,0.92677341123946633,0.01502419171924708,0.2158776110957201,0.016395803986958998
1.96,293.14999999999998,31.228381041666665,0.92677341123946633,0.015479136279439105,0.22191640340719909,0.01690680243078594
1.97,293.14999999999998,31.228381041666665,0.92677341123946633,0.015945310555927433,0.22811077541841912,0.017431004156471606
1.98,293.14999999999998,31.228381041666665,0.92677341123946633,0.016422934478785893,0.23446454475074699,0.017968680684372539
1.99,293.14999999999998,31.228381041666665,0.92677341123946633,0.0169122280875681,0.24098155806820368,0.018520107701271857
2.0,293.14999999999998,31.228381041666665,0.92677341123946633,0.017413417712890164,0.24766578354408447,0.019085565102785005
2.01,293.14999999999998,31.228381041666665,0.92677341123946633,0.01792672707554456,0.25452128613330777,0.019665337035980172
2.02,293.14999999999998,31.228381041666665,0.92677341123946633,0.018452392828868121,0.26155222489978425,0.020259711942213533
2.03,293.14999999999998,31.228381041666665,0.92677341123946633,0.018990649662803658,0.26876284252735139,0.020868982600178981
2.04,293.14999999999998,31.228381041666665,0.92677341123946633,0.019541730882620637,0.2761574900689206,0.021493446169172935
2.05,293.14999999999998,31.228381041666665,0.92677341123946633,0.020105885161090287,0.2837406222394267,0.02213340423257339
2.06,293.14999999999998,31.228381041666665,0.92677341123946633,0.020683358081230306,0.29151680801617663,0.02278916284153415
2.07,293.14999999999998,31.228381041666665,0.92677341123946633,0.021274401268194517,0.29949069448875071,0.023461032558893466
2.08,293.14999999999998,31.228381041666665,0.92677341123946633,0.021879272665392711,0.30766706255030996,0.024149328503297405
2.09,293.14999999999998,31.228381041666665,0.92677341123946633,0.022498229539353574,0.31605077095608702,0.024854370393538178
2.1,293.14999999999998,31.228381041666665,0.92677341123946633,0.023131533707273326,0.32464685333046939,0.02557648259310679
2.11,293.14999999999998,31.228381041666665,0.92677341123946633,0.023779462892178162,0.33346039296667795,0.026315994154960859
2.12,293.14999999999998,31.228381041666665,0.92677341123946633,0.024442284556252997,0.34249664466763186,0.027073238866506651
2.13,293.14999999999998,31.228381041666665,0.92677341123946633,0.02512028193075189,0.3517609385730644,0.027848555294796355
2.14,293.14999999999998,31.228381041666665,0.92677341123946633,0.025813736280003042,0.3612587588909425,0.028642286831939513
2.15,293.14999999999998,31.228381041666665,0.92677341123946633,0.026522944794887121,0.37099571693185651,0.029454781740729734
2.16,293.14999999999998,31.228381041666665,0.92677341123946633,0.027248195493962041,0.3809775047069186,0.030286393200485564
2.17,293.14999999999998,31.228381041666665,0.92677341123946633,0.027989796924767746,0.39121001812610195,0.031137479353106609
2.18,293.14999999999998,31.228381041666665,0.92677341123946633,0.028748052422674572,0.40169925066836287,0.032008403349343829
2.19,293.14999999999998,31.228381041666665,0.92677341123946633,0.029523278629241732,0.41245129785031326,0.032899533395285091
2.2,293.14999999999998,31.228381041666665,0.92677341123946633,0.030315789864182159,0.42347246736060096,0.033811242799054883
2.21,293.14999999999998,31.228381041666665,0.92677341123946633,0.031125924400609607,0.43476913430825354,0.034743910017729307
2.22,293.14999999999998,31.228381041666665,0.92677341123946633,0.031954006349466754,0.44634788741974735,0.035697918704465204
2.23,293.14999999999998,31.228381041666665,0.92677341123946633,0.03280038346163211,0.45821543071154897,0.036673657755844573
2.24,293.14999999999998,31.228381041666665,0.92677341123946633,0.033665406352571793,0.4703785912939793,0.037671521359433122
2.25,293.14999999999998,31.228381041666665,0.92677341123946633,0.034549421073152384,0.48284438292638771,0.038691909041554132
2.26,293.14999999999998,31.228381041666665,0.92677341123946633,0.035452811671567365,0.49561996054405449,0.039735225715276386
2.27,293.14999999999998,31.228381041666665,0.92677341123946633,0.036375939641333413,0.50871270999166596,0.040801881728617519
2.28,293.14999999999998,31.228381041666665,0.92677341123946633,0.037319185013184465,0.52213001801881365,0.041892292912961336
2.29,293.14999999999998,31.228381041666665,0.92677341123946633,0.038282952532157827,0.53587958465123298,0.043006880631690572
2.3,293.14999999999998,31.228381041666665,0.92677341123946633,0.039267633102912577,0.54996924875711573,0.044146071829033649
2.31,293.14999999999998,31.228381041666665,0.92677341123946633,0.040273641618434323,0.56440692359449807,0.045310299079126912
2.32,293.14999999999998,31.228381041666665,0.92677341123946633,0.041301406283063821,0.57920084219225143,0.046500000635290743
2.33,293.14999999999998,31.228381041666665,0.92677341123946633,0.042351364735262381,0.59435928354594236,0.047715620479521187
