{'elevation': 90.0, 'canting': 10.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.9287969731779052, 'frequency': 9.6, 'n': (7.799630675745488+2.423234751141455j), 'wl': 31.22838104166667, 'prefactor': 0.00029886308515174494}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.31,2.6451214908413096e-07,2.6451214908413085e-07,0.0002406048738474677,2.6524208818719006e-07,4.8497838631152084e-20,1.0
0.32,3.1996070280188473e-07,3.1996070280188473e-07,0.0002655401351877352,3.20901794177102e-07,-4.8497838631152084e-20,1.0
0.33,3.847681770044215e-07,3.847681770044215e-07,0.00029223156661609676,3.859721015899982e-07,0.0,1.0
0.34,4.601560783254754e-07,4.601560783254754e-07,0.00032075333005565957,4.616850137217998e-07,0.0,1.0
0.35000000000000003,5.474615495596268e-07,5.474615495596268e-07,0.0003511813197037564,5.493897360159009e-07,0.0,1.0
0.36000000000000004,6.481438837439385e-07,6.481438837439385e-07,0.00038359342270996696,6.505598846407828e-07,0.0,1.0
0.37,7.637923954977892e-07,7.637923954977892e-07,0.000418069489509357,7.668009102490476e-07,0.0,1.0
0.38,8.961334184335559e-07,8.961334184335559e-07,0.00045469143321859437,8.99857736917879e-07,0.0,1.0
0.39,1.047037360519999e-06,1.047037360519999e-06,0.0004935432793910922,1.0516226162709145e-06,0.0,1.0
0.4,1.2185276176220445e-06,1.2185276176220442e-06,0.0005347112257164913,1.2241431967815478e-06,0.0,1.0
0.41000000000000003,1.412787650401208e-06,1.412787650401208e-06,0.0005782837827596886,1.4196308082576482e-06,0.0,1.0
0.42000000000000004,1.632169741716701e-06,1.6321697417167005e-06,0.0006243517873482083,1.6404689615077039e-06,0.0,1.0
0.43,1.8792021390658835e-06,1.8792021390658835e-06,0.0006730084821353752,1.8892220631883807e-06,0.0,1.0
0.44,2.1565992173961034e-06,2.1565992173961034e-06,0.0007243496679207813,2.168644345833515e-06,0.0,1.0
0.45,2.467269289364209e-06,2.467269289364209e-06,0.0007784735781143489,2.4816890130645076e-06,0.0,1.0
0.46,2.8143227941661067e-06,2.8143227941661076e-06,0.0008354812031063127,2.8315175999821613e-06,0.0,1.0
0.47000000000000003,3.2010834923982893e-06,3.2010834923982893e-06,0.0008954762639982702,3.2215095487399226e-06,-1.9399135452460833e-19,1.0
0.48000000000000004,3.631094520368322e-06,3.631094520368322e-06,0.0009585651730524884,3.6552719992985534e-06,-1.9399135452460833e-19,1.0
0.49,4.108131844963801e-06,4.108131844963801e-06,0.0010248574176585537,4.13664979536222e-06,0.0,1.0
0.5,4.636209242356444e-06,4.636209242356444e-06,0.001094465236270602,4.669735705496015e-06,-1.9399135452460833e-19,1.0
0.51,5.219592506929605e-06,5.219592506929605e-06,0.001167504148029228,5.258880859424874e-06,-1.9399135452460833e-19,1.0
0.52,5.8628054199298595e-06,5.8628054199298595e-06,0.0012440926418270286,5.908705399513945e-06,1.9399135452460833e-19,1.0
0.53,6.570644174702789e-06,6.570644174702789e-06,0.0013243525207140294,6.6241093474303545e-06,0.0,1.0
0.54,7.348183186305278e-06,7.348183186305278e-06,0.0014084088358854536,7.410283685986413e-06,5.81974063573825e-19,1.0
0.55,8.200788142261208e-06,8.200788142261208e-06,0.001496390270682766,8.272721656164229e-06,0.0,1.0
0.56,9.134126841617851e-06,9.134126841617851e-06,0.0015884286378896931,9.21723026932175e-06,3.8798270904921667e-19,1.0
0.5700000000000001,1.0154178924463082e-05,1.0154178924463082e-05,0.0016846595549643312,1.0249942034580222e-05,0.0,1.0
0.5800000000000001,1.1267246693797262e-05,1.1267246693797262e-05,0.001785222576503025,1.1377326901393077e-05,-3.8798270904921667e-19,1.0
0.59,1.2479968803399505e-05,1.2479968803399505e-05,0.001890260440267126,1.2606204417296222e-05,-3.8798270904921667e-19,1.0
