{'frequency': 35.6, 'K2': 0.9076711324657145, 'n': (5.198742318859741+2.776527278824784j), 'aspect_ratio_func': 'dsr_thurai_2007', 'wl': 8.421136460674157, 'canting': 10.0, 'elevation': 90.0, 'prefactor': 0.055232546521968295}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.18000000000000002,1.9015008798736927e-06,1.901500879873617e-06,0.0004939370953174051,1.878581744395608e-06,-2.615613768871123e-20,1.0
0.19,2.6337837637861827e-06,2.633783763786077e-06,0.0005856893562739908,2.5984638109994845e-06,0.0,1.0
0.2,3.5881186192069724e-06,3.588118619206829e-06,0.0006890218513326569,3.534882977405972e-06,0.0,1.0
0.21000000000000002,4.815729503973958e-06,4.815729503973766e-06,0.0008048586647423088,4.737081268141265e-06,0.0,1.0
0.22,6.376361792555095e-06,6.3763617925548396e-06,0.0009341760204139773,6.2622608223363e-06,0.0,1.0
0.23,8.339216052866011e-06,8.33921605286568e-06,0.0010780059852435314,8.176399126113437e-06,5.231227537742246e-20,1.0
0.24000000000000002,1.0783946024212992e-05,1.0783946024212563e-05,0.0012374400558200153,1.0555104012406596e-05,0.0,1.0
0.25,1.3801708116300594e-05,1.3801708116300045e-05,0.001413632870128473,1.3484508428214916e-05,1.0462455075484493e-19,1.0
0.26,1.7496277268928577e-05,1.749627726892788e-05,0.0016078061435443086,1.706220496928994e-05,1.0462455075484493e-19,1.0
0.27,2.1985231006614686e-05,2.1985231006613812e-05,0.0018212526065984177,2.1398220182256214e-05,1.0462455075484493e-19,1.0
0.28,2.7401190201816276e-05,2.7401190201815192e-05,0.002055340351876615,2.661602863416546e-05,0.0,1.0
0.29000000000000004,3.3893123458361036e-05,3.3893123458359694e-05,0.0023115167753281793,3.2853606749484205e-05,-2.0924910150968985e-19,1.0
0.3,4.162775396102078e-05,4.162775396101914e-05,0.002591313780906928,4.0264526414514877e-05,0.0,1.0
0.31,5.0790978416554e-05,5.0790978416552e-05,0.0028963511557647766,4.901908834925061e-05,0.0,1.0
