{'aspect_ratio_func': 'dsr_thurai_2007', 'frequency': 13.6, 'canting': 10.0, 'elevation': 90.0, 'K2': 0.92512717854887216, 'n': (6.2818423594428365+3.0065050536044406j), 'prefactor': 0.0011990122637113656, 'wl': 22.043563088235295}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.49,1.68768938518e-05,1.68768938518e-05,0.00276911378294,1.65958730996e-05,0.0,1.0
0.5,1.90649082582e-05,1.90649082582e-05,0.0029585978716,1.87345666205e-05,0.0,1.0
0.51,2.1485246368e-05,2.1485246368e-05,0.00315756517273,2.10981648692e-05,-5.47740295128e-19,1.0
0.52,2.41573731856e-05,2.41573731856e-05,0.00336635406786,2.37052034482e-05,0.0,1.0
0.53,2.71019886155e-05,2.71019886155e-05,0.00358531270217,2.6575340811e-05,2.73870147564e-19,1.0
0.54,3.0341048688e-05,3.0341048688e-05,0.00381479906514,2.97294027215e-05,0.0,1.0
0.55,3.38978426218e-05,3.38978426218e-05,0.00405518202005,3.31894275768e-05,5.47740295128e-19,1.0
0.56,3.77970438033e-05,3.77970438033e-05,0.00430684001344,3.69787125926e-05,-5.47740295128e-19,1.0
0.5700000000000001,4.20647525423e-05,4.20647525423e-05,0.00457016265801,4.11218608533e-05,0.0,1.0
0.5800000000000001,4.67285662611e-05,4.67285662611e-05,0.00484555110413,4.56448292237e-05,0.0,1.0
0.59,5.18176391344e-05,5.18176391344e-05,0.00513341714385,5.05749771254e-05,0.0,1.0
0.6,5.7362743647e-05,5.7362743647e-05,0.00543418495306,5.59411161757e-05,0.0,1.0
0.61,6.33963160089e-05,6.33963160089e-05,0.00574829014402,6.17735606898e-05,0.0,1.0
0.62,6.99525349698e-05,6.99525349698e-05,0.00607618140104,6.81041790469e-05,0.0,1.0
0.63,7.70673868654e-05,7.70673868654e-05,0.00641831932262,7.49664459188e-05,5.47740295128e-19,1.0
0.64,8.47787435784e-05,8.47787435783e-05,0.00677517784637,8.23954953623e-05,0.0,1.0
0.65,9.31263704136e-05,9.31263704136e-05,0.0071472438295,9.04281747749e-05,0.0,1.0
0.66,0.000102152083909,0.000102152083909,0.00753501799897,9.91030997134e-05,5.47740295128e-19,1.0
0.67,0.000111899775506,0.000111899775506,0.00793901463758,0.000108460709576,-1.09548059026e-18,1.0
0.68,0.000122415459047,0.000122415459047,0.00835976390586,0.000118543324148,0.0,1.0
0.6900000000000001,0.000133747388022,0.000133747388022,0.00879780804702,0.000129395201011,0.0,1.0
0.7000000000000001,0.00014651443065,0.00014651443065,0.00927877739318,0.000141062593813,-1.09548059026e-18,0.99443805
0.7100000000000001,0.000159753830756,0.000159753830756,0.00975706259321,0.000153593811406,-1.64322088538e-18,0.993814308415
0.72,0.000173980648096,0.000173980648095,0.0102544656375,0.000167039277843,-1.09548059026e-18,0.99322328064
0.73,0.000189253452136,0.000189253452136,0.0107715861732,0.00018145159324,2.19096118051e-18,0.992664030615
0.74,0.000205633461377,0.000205633461377,0.011309040205,0.000196885595502,-1.09548059026e-18,0.99213562024
0.75,0.00022318465898,0.00022318465898,0.0118674596377,0.000213398422912,1.09548059026e-18,0.991637109375
0.76,0.000241973726592,0.000241973726592,0.012447493691,0.000231049577579,-2.19096118051e-18,0.99116755584
0.77,0.000262070349592,0.000262070349592,0.0130498117322,0.000249900989759,-2.19096118051e-18,0.990726015415
0.78,0.000283547077964,0.000283547077964,0.0136750973682,0.000270017083027,-1.09548059026e-18,0.99031154184
0.79,0.000306479582281,0.000306479582281,0.0143240555166,0.000291464840324,0.0,0.989923186815
0.8,0.000330946714548,0.000330946714548,0.0149974097725,0.000314313870858,2.19096118051e-18,0.98956
0.81,0.000357030571073,0.000357030571073,0.0156959019207,0.000338636477875,0.0,0.989221029015
0.8200000000000001,0.000384816458449,0.000384816458449,0.0164202951413,0.000364507727287,0.0,0.98890531944
0.8300000000000001,0.00041439343931,0.00041439343931,0.0171713732887,0.000392005517172,2.19096118051e-18,0.988611914815
