{'prefactor': 0.00029916200687055036, 'n': (7.2039603178089227+2.8488829866788303j), 'K2': 0.92972595237084443, 'frequency': 9.6, 'wl': 31.22838104166667, 'elevation': 90.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'canting': 10.0}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
1.6600000000000001,0.00728907503137,0.00728907503137,0.123629757125,0.00625972084634,3.10386167239e-17,0.953448119817
1.6700000000000002,0.00757085820167,0.00757085820167,0.127036085689,0.00648941076413,1.86231700344e-17,0.952746398065
1.68,0.00786189669731,0.00786189669731,0.130523715215,0.00672608154547,3.10386167239e-17,0.952044508797
1.69,0.00816244269388,0.00816244269388,0.134094352838,0.00696990190148,3.10386167239e-17,0.951342454964
1.7,0.00847275342788,0.00847275342788,0.137749700263,0.00722104358302,6.20772334479e-18,0.950640239505
1.71,0.00879309300688,0.00879309300688,0.141491513104,0.00747968141692,1.86231700344e-17,0.949937865351
1.72,0.0091237310794,0.00912373107939,0.14532156095,0.00774599334255,1.24154466896e-17,0.949235335422
1.73,0.00946494198173,0.00946494198173,0.149241647725,0.00802016044853,3.72463400687e-17,0.948532652628
1.74,0.0098170082132,0.0098170082132,0.15325362391,0.00830236700963,4.34540634135e-17,0.94782981987
1.75,0.0101802169438,0.0101802169438,0.157359361478,0.008592800524,0.0,0.947126840039
1.76,0.0105548603133,0.0105548603133,0.16156075969,0.00889165175048,3.10386167239e-17,0.946423716016
1.77,0.0109412388685,0.0109412388685,0.165859758232,0.00919911474619,1.86231700344e-17,0.945720450672
1.78,0.0113396569083,0.0113396569083,0.170258331096,0.00951538690438,1.86231700344e-17,0.945017046869
1.79,0.0117504275612,0.0117504275612,0.174758486102,0.00984066899241,5.58695101031e-17,0.944313507458
1.8,0.0121738718099,0.0121738718099,0.179362252364,0.01017516519,3.10386167239e-17,0.94360983528
1.81,0.0126103118592,0.0126103118592,0.184071719542,0.0105190831276,1.24154466896e-17,0.942906033168
1.82,0.0130600816742,0.0130600816742,0.188888978098,0.0108726339252,4.96617867583e-17,0.942202103944
1.83,0.0135235194087,0.0135235194087,0.193816191787,0.0112360322311,0.0,0.941498050419
1.84,0.0140009700159,0.0140009700159,0.198855526706,0.011609496261,1.24154466896e-17,0.940793875397
1.85,0.0144927880062,0.0144927880062,0.204009215687,0.0119932478375,3.72463400687e-17,0.940089581669
1.86,0.0149993322753,0.0149993322753,0.209279518026,0.0123875124292,4.96617867583e-17,0.939385172019
1.87,0.015520971472,0.015520971472,0.214668709492,0.012792519191,1.24154466896e-17,0.938680649219
1.8800000000000001,0.0160580817938,0.0160580817938,0.220179117851,0.0132085010035,4.96617867583e-17,0.937976016033
1.8900000000000001,0.0166110406518,0.0166110406518,0.225813146333,0.0136356945137,2.48308933791e-17,0.937271275214
1.9000000000000001,0.0171802418709,0.0171802418709,0.231573158838,0.014074340175,4.96617867583e-17,0.936566429505
1.9100000000000001,0.017766077849,0.017766077849,0.237461639187,0.0145246822877,3.72463400687e-17,0.93586148164
1.9200000000000002,0.0183689605895,0.0183689605895,0.243481053816,0.0149869690406,7.44926801374e-17,0.935156434342
1.93,0.0189892978465,0.0189892978465,0.249633941402,0.0154614525509,7.44926801374e-17,0.934451290326
1.94,0.019627514304,0.019627514304,0.255922856891,0.0159483889063,2.48308933791e-17,0.933746052295
1.95,0.0202840333657,0.0202840333657,0.262350427717,0.0164480382063,8.6908126827e-17,0.933040722944
1.96,0.0209592990101,0.0209592990101,0.268919289994,0.0169606646035,2.48308933791e-17,0.932335304958
1.97,0.0216537541399,0.0216537541399,0.2756321339,0.017486536346,7.44926801374e-17,0.93162980101
1.98,0.0223678529106,0.0223678529106,0.282491696654,0.0180259258191,4.96617867583e-17,0.930924213766
1.99,0.0231020575975,0.0231020575975,0.289500770479,0.0185791095879,8.6908126827e-17,0.930218545881
2.0,0.0238568392873,0.0238568392873,0.296662148169,0.0191463684397,6.20772334479e-17,0.9295128
2.01,0.024632678076,0.024632678076,0.303978735959,0.0197279874268,6.20772334479e-17,0.928806978758
2.02,0.0254300657877,0.0254300657877,0.311453390329,0.0203242559096,4.96617867583e-17,0.928101084781
2.03,0.0262494955575,0.0262494955575,0.319089092649,0.0209354675994,4.96617867583e-17,0.927395120684
2.04,0.0270914773612,0.0270914773612,0.326888833091,0.0215619206022,1.24154466896e-17,0.926689089073
2.05,0.027956526249,0.027956526249,0.334855655116,0.0222039174622,3.72463400687e-17,0.925982992544
2.0599999999999996,0.0288451703342,0.0288451703342,0.342992652455,0.0228617652056,2.48308933791e-17,0.925276833684
2.07,0.0297579428293,0.0297579428293,0.351302930871,0.0235357753847,6.20772334479e-17,0.924570615068
2.0799999999999996,0.0306953867253,0.0306953867253,0.359789703154,0.0242262641219,3.72463400687e-17,0.923864339263
