{'wl': 8.421136460674157, 'aspect_ratio_func': 'dsr_thurai_2007', 'elevation': 90.0, 'canting': 10.0, 'prefactor': 0.05548070286560928, 'frequency': 35.6, 'n': (5.695519193854038+2.7772055098547335j), 'K2': 0.9117492415453236}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.27,2.2166618521568006e-05,2.2166618521567132e-05,0.0015678318131250987,2.1494361034258057e-05,0.0,1.0
0.28,2.763506665620253e-05,2.763506665620144e-05,0.0017748394840449504,2.673561277004214e-05,1.0462455075484493e-19,1.0
0.29000000000000004,3.419242863305889e-05,3.419242863305754e-05,0.0020023900497422426,3.300121592993595e-05,2.0924910150968985e-19,1.0
0.3,4.2008084957376266e-05,4.2008084957374606e-05,0.002252042035210392,4.044543238902915e-05,0.0,1.0
0.31,5.127108885003297e-05,5.127108885003095e-05,0.0025254543911677366,4.9239328017695485e-05,0.0,1.0
0.32,6.21917212188797e-05,6.219172121887728e-05,0.0028243929210079364,5.9571951091721346e-05,-2.0924910150968985e-19,1.0
0.33,7.500316643690084e-05,7.50031664368979e-05,0.003150735370677211,7.165155064854092e-05,2.0924910150968985e-19,1.0
0.34,8.996330101699793e-05,8.996330101699442e-05,0.003506479292397619,8.57068347895771e-05,0.0,1.0
0.35000000000000003,0.00010735651179210053,0.00010735651179209631,0.003893746368847926,0.00010198826892868859,0.0,1.0
0.36000000000000004,0.00012749562294667229,0.00012749562294666733,0.004314791207423669,0.00012076941398672295,0.0,1.0
0.37,0.00015072399549288657,0.00015072399549288072,0.004772007425108522,0.0001423483045321757,0.0,1.0
0.38,0.0001774175585901202,0.00017741755859011332,0.005267935091636268,0.00016704886686795604,0.0,1.0
0.39,0.00020798705470949263,0.00020798705470948455,0.005805268361446262,0.00019522237706425753,-4.184982030193797e-19,1.0
0.4,0.0002428804805477085,0.00024288048054769913,0.0063868629248993135,0.00022724895893753568,4.184982030193797e-19,1.0
0.41000000000000003,0.00028258529171298294,0.00028258529171297205,0.00701574469201765,0.0002635391219755916,0.0,1.0
0.42000000000000004,0.00032763124008334144,0.00032763124008332875,0.007695118482065471,0.00030453533920876127,0.0,1.0
0.43,0.0003785926499894796,0.000378592649989465,0.008428374251132364,0.00035071366502721087,0.0,1.0
0.44,0.0004360914305968582,0.0004360914305968415,0.009219099857448777,0.0004025853929443395,0.0,1.0
0.45,0.0005007999597137098,0.0005007999597136906,0.010071087661672315,0.00046069875330628535,0.0,1.0
0.46,0.0005734438320580155,0.0005734438320579936,0.010988343484272535,0.0005256406509475404,0.0,1.0
0.47000000000000003,0.0006548050634695362,0.0006548050634695112,0.01197509802195015,0.00059803844279267,0.0,1.0
0.48000000000000004,0.0007457254513591689,0.0007457254513591404,0.013035816297607798,0.0006785617554041387,-1.255494609058139e-18,1.0
0.49,0.0008471093402675154,0.0008471093402674831,0.01417520663566613,0.0007679243424762416,-8.369964060387594e-19,1.0
0.5,0.0009599280261858239,0.0009599280261857873,0.01539823134150433,0.000866885982275145,-8.369964060387594e-19,1.0
0.51,0.0010852219648313005,0.0010852219648312593,0.016710118646018797,0.0009762544150250264,0.0,1.0
0.52,0.0012241056266651571,0.001224105626665111,0.018116369708549643,0.0010968873202403277,0.0,1.0
0.53,0.0013777701986187013,0.0013777701986186493,0.019622775000850114,0.0012296943340041095,0.0,1.0
0.54,0.0015474887713971906,0.001547488771397132,0.021235418856905598,0.0013756391061925156,0.0,1.0
0.55,0.001734618298605462,0.0017346182986053968,0.022960692417549968,0.0015357413976453387,0.0,1.0
0.56,0.0019406053302459124,0.0019406053302458396,0.02480530756537758,0.001711079217282697,0.0,1.0
0.5700000000000001,0.0021669896268928495,0.0021669896268927684,0.02677630198586946,0.001902790999167813,2.510989218116278e-18,1.0
0.5800000000000001,0.0024154076580245897,0.0024154076580245,0.028881051154009366,0.002112077819515901,-1.6739928120775188e-18,1.0
0.59,0.0026875974117841657,0.0026875974117840655,0.031127283266014084,0.0023402056536491567,8.369964060387594e-19,1.0
0.6,0.002985402946353445,0.0029854029463533332,0.033523079392651034,0.0025885076728978658,8.369964060387594e-19,1.0
0.61,0.0033107780267140133,0.0033107780267138905,0.03607689437515263,0.002858386581447595,-1.6739928120775188e-18,1.0
0.62,0.003665789921702565,0.003665789921702429,0.03879755203856624,0.003151316993132511,0.0,1.0
0.63,0.004052625231676796,0.004052625231676646,0.04169426610548525,0.003468847848174795,1.6739928120775188e-18,1.0
0.64,0.004473592450961201,0.004473592450961036,0.04477663840915386,0.003812604869870166,0.0,1.0
0.65,0.0049311283204406305,0.004931128320440449,0.04805467091586809,0.004184293061219511,-1.6739928120775188e-18,1.0
0.66,0.00542779889692375,0.005427798896923551,0.05153876397681397,0.004585699241506619,1.6739928120775188e-18,1.0
0.67,0.005966305075298356,0.005966305075298137,0.05523972641815441,0.005018694622822019,1.6739928120775188e-18,1.0
0.68,0.0065494896433347626,0.006549489643334523,0.059168771786921696,0.005485237426532934,0.0,1.0
