{'wl': 3.1892814680851065, 'n': (2.8897294367922619+1.4329811854701382j), 'K2': 0.70325035886768028, 'aspect_ratio_func': 'dsr_thurai_2007', 'canting': 10.0, 'elevation': 90.0, 'prefactor': 2.0801177916070044, 'frequency': 94.0}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,2.08044818165e-12,2.08044818165e-12,5.59610993803e-07,2.08011779161e-12,0.0,1.0
0.02,1.33211845925e-10,1.33211845925e-10,4.48049193265e-06,1.33127538663e-10,0.0,1.0
0.03,1.51856294767e-09,1.51856294767e-09,1.51421939237e-05,1.51640587008e-09,0.0,1.0
0.04,8.5416818474e-09,8.5416818474e-09,3.59616539047e-05,8.52016247442e-09,0.0,1.0
0.05,3.26299625609e-08,3.26299625609e-08,7.04133249385e-05,3.25018404939e-08,0.0,1.0
0.060000000000000005,9.76003291403e-08,9.76003291403e-08,0.000122050403604,9.70499756852e-08,0.0,1.0
0.06999999999999999,2.46610867585e-07,2.46610867585e-07,0.000194527249999,2.44723778065e-07,0.0,1.0
0.08,5.50777743947e-07,5.50777743947e-07,0.000291623045338,5.45290398363e-07,0.0,1.0
0.09,1.11952870678e-06,1.11952870678e-06,0.000417266742915,1.10545987929e-06,0.0,1.0
